4,13,5650.34
4,14,5327.7
4,15,5235.82
4,16,4704.84
4,17,4765.66
4,18,4868.3
4,19,4204.7
4,20,21491.44
4,21,7754.72
4,23,13849.38
4,24,12647.1
4,25,11987.8
4,26,13033.08
4,27,12204.02
4,28,8990.68
4,29,1029.56
5,1,4762.39
5,2,4514.49
5,3,6065.38
5,4,5409.04
5,5,4694.2699999999995
5,6,4248.33
5,7,4251.95
5,8,3572.13
5,9,2825.09
5,10,2303.81
5,11,1627.09
5,12,1078.86
5,13,955.91
5,14,1664.24
5,15,1056.7
5,16,678.21
5,17,1341.8799999999999
5,18,1334.37
5,19,44.56
5,20,1100.68
5,21,1037.12
5,22,938.48
5,23,1338.25
5,24,1585.78
5,25,1128.37
5,26,1045.51
5,27,1164.27
5,28,1032.84
5,29,1128.27
5,30,1168.62
5,31,1116.67
6,1,1250.16
6,2,1164.93
6,3,1074.25
6,4,1023.76
6,5,1187.71
6,6,1280.45
6,7,1133.57
6,8,1067.29
6,9,887.66
6,10,966.09
6,11,977.1999999999999
6,12,969.3199999999999
6,13,1309.72
6,14,1332.95
6,15,1229.11
6,16,1067.75
6,17,838.88
6,18,756.09
6,19,1063.59
6,20,1089.1299999999999
6,21,999.98
6,22,1216.3
6,23,1174.85
6,25,930.53
6,26,907.14
6,27,987.22
6,28,971.85
6,29,999.46
6,30,772.03
7,1,986.12
7,2,801.32
7,3,863.76
7,5,605.5
7,6,724.28
7,7,598.11
7,9,968.14
7,10,1345.65
7,11,1279.8899999999999
7,12,1398.65
7,13,1484.09
7,14,5505.04
7,15,998.9399999999999
7,16,925.75
7,17,1135.1399999999999
7,18,1330.33
7,19,1440.09
7,20,1072.19
7,21,1261.87
7,22,1008.9
7,23,1324.98
7,24,999.51
7,25,1170.15
7,26,1378.05
7,27,1145.21
7,28,890.78
7,29,789.92
7,30,961.38
7,31,904.52
8,1,825.99
8,2,865.33
8,3,1341.37
8,5,1321.28
8,6,1082.7
8,7,913.57
8,8,850.41
8,9,1087.51
8,10,1061.94
8,11,1321.8
8,12,1006.91
8,13,863.86
8,14,1129.34
8,15,1456.05
8,16,1743.86
8,17,2898.95
8,18,3307.2799999999997
8,19,2197.89
8,20,2194.19
8,21,2044.15
8,22,2149.61
8,23,2957.25
8,24,3180.44
8,25,2925.39
8,26,2149.09
8,27,1731.24
8,28,2036.74
8,29,1776.85
8,30,2774.93
8,31,1949.11
9,1,2917.93
9,2,11.67
9,3,1608.89
9,4,2019.21
9,5,1940.1299999999999
9,6,2562.25
9,7,2887.3
9,8,2824.49
9,9,2388.79
9,10,1571.82
9,11,1594.4
9,12,2013.3
9,13,2080.21
9,14,2231.36
9,15,2192.02
9,16,2120.47
9,17,1570.1399999999999
9,18,1606.72
9,19,1544.1
9,20,2282.2
9,21,2125.41
9,22,2786.09
9,23,1996.45
9,24,1872.89
9,25,1551.06
9,26,1557.36
9,27,1405.3
9,28,2205.37
9,29,2228.08
9,30,2600.41
10,1,1354.23
10,2,1735.66
10,3,1612.42
10,4,1635.35
10,5,1884.99
10,6,1295.34
10,7,1289.47
10,8,1300.69
10,9,1489.52
10,10,1732.91
10,11,1865.92
10,12,2646.37
10,13,2498.52
10,14,2394.78
10,15,1452.31
10,16,1383.97
10,17,1585.82
10,18,2102.98
10,19,2149.17
10,20,1640.71
10,21,1916.44
10,22,1417.86
10,23,1306.02
10,24,1306.02
10,25,2062.62
10,26,1264.05
10,27,2000.59
10,28,2126.2599999999998
10,29,1789.06
10,30,1437.53
10,31,1484.72
